Frame,clavicle_out_l_RelLoc_X,clavicle_out_l_RelLoc_Y,clavicle_out_l_RelLoc_Z,clavicle_out_r_RelLoc_X,clavicle_out_r_RelLoc_Y,clavicle_out_r_RelLoc_Z,thigh_out_l_RelLoc_X,thigh_out_l_RelLoc_Y,thigh_out_l_RelLoc_Z,thigh_out_r_RelLoc_X,thigh_out_r_RelLoc_Y,thigh_out_r_RelLoc_Z,calf_knee_l_RelLoc_X,calf_knee_l_RelLoc_Y,calf_knee_l_RelLoc_Z,calf_knee_r_RelLoc_X,calf_knee_r_RelLoc_Y,calf_knee_r_RelLoc_Z,state,angle_left_deg,angle_right_deg
22,16.26682281,-6.806743145,0.978125632,-9.440086365,-11.86092758,9.244157791,2.46706605,39.81801987,-5.694776535,-18.9482708,39.33890152,-0.483952463,23.52121162,84.78627014,-18.91600418,-44.94541931,79.00470734,-19.43788528,stand up,41.5764331,22.72061482
23,16.34872246,-6.66398716,0.962640345,-9.519706726,-11.62309361,9.243516922,1.979231834,39.71669006,-6.08446455,-19.33750153,39.14986801,-0.809311867,23.16337776,84.65563965,-19.49327087,-45.70594406,78.62773132,-19.69264793,stand up,42.45294592,22.79612076
24,16.42908096,-6.520944595,0.94512105,-9.596683502,-11.38384342,9.235551834,1.491572738,39.60758209,-6.470809937,-19.72550392,38.95418167,-1.131087542,22.80726814,84.51478577,-20.06729889,-46.4617157,78.24317169,-19.94101524,stand up,43.33504549,22.85842757
25,16.37935638,-6.775417805,1.102913857,-9.667494774,-11.19530773,9.351766586,1.437636495,39.53857803,-7.034488201,-19.68608284,38.84677505,-1.558610797,22.74799728,84.47928619,-20.84988022,-46.7231102,78.03741455,-20.02216339,stand up,43.25038878,23.2800746
26,16.15024567,-7.285294056,1.089833736,-9.650185585,-10.87213135,9.973412514,2.42086935,39.45214844,-8.004717827,-18.63882256,39.08275223,-2.121609449,23.40480614,84.61288452,-21.47765732,-45.85333633,78.22225189,-20.27361298,stand up,41.29237387,24.61132616
27,15.90506458,-7.784766197,1.097950339,-9.609498978,-10.53378296,10.57980251,3.391614437,39.3227005,-8.996941566,-17.59629822,39.27914047,-2.713435888,24.05953979,84.69552612,-22.11739731,-44.96946335,78.38141632,-20.54309464,stand up,39.36617919,25.88452567
28,15.64461613,-8.27269268,1.127319098,-9.335665703,-10.35577679,11.30890083,4.348330975,39.14984131,-10.00946331,-16.56012726,39.43517685,-3.332725048,24.71119118,84.72652435,-22.7679863,-44.07263184,78.51409912,-20.83011818,stand up,37.47270119,26.89070342
29,15.36975479,-8.747964859,1.17790103,-9.029819489,-10.16573334,12.00520992,5.289518833,38.93332672,-11.04046249,-15.53188992,39.55028534,-3.97796917,25.35878944,84.70533752,-23.4282093,-43.16404343,78.61965942,-21.13405991,stand up,35.61266334,27.81909784
30,14.92632961,-9.524708748,1.24913156,-8.93451786,-9.718331337,12.61588669,6.596879482,38.64107132,-12.08937931,-14.15230656,39.82593536,-4.563258648,26.32100296,84.61907959,-23.72494507,-41.95246887,78.75263977,-22.00816345,stand up,33.03015801,29.52118546
31,14.39101219,-10.40029526,1.442071795,-8.850324631,-9.339007378,13.11967373,7.861265659,38.31607819,-13.03404903,-12.82964039,40.06806183,-5.121642113,27.30182457,84.44563293,-23.93723869,-40.76309204,78.85372162,-22.99428558,stand up,30.48640273,31.15670832
32,13.73885441,-11.33143044,1.70352459,-8.856422424,-8.86520195,13.55985737,9.15696907,37.94556808,-13.94870853,-11.49212265,40.24903107,-5.71051693,28.35047531,84.18563843,-24.11481857,-39.42481995,78.9853363,-23.96868515,stand up,27.8547635,32.72350853
33,12.95262241,-12.26067257,2.050733566,-8.962677956,-8.263328552,13.9701786,10.61087132,37.50744629,-14.89902115,-10.02106094,40.30973816,-6.427024364,29.61573982,83.8160553,-24.63028145,-37.70666504,79.18959045,-24.86518097,stand up,25.00701596,34.20569663
34,12.10035801,-13.11946201,2.436491966,-9.118383408,-7.616803169,14.31045818,12.0487957,36.99708939,-15.85251999,-8.556837082,40.29917526,-7.155647755,30.86011505,83.37019348,-25.15156937,-35.99114227,79.32193756,-25.77301788,stand up,22.13895715,35.77994015
35,11.4994173,-13.53017044,2.830836296,-9.501451492,-6.798875332,14.49600124,13.47140121,36.43962097,-16.69965935,-7.145197868,40.12969589,-8.01012516,32.29159164,82.81175232,-26.51198196,-34.11929703,79.47476196,-26.64079285,stand up,19.82991801,37.30803606
36,10.88117981,-13.90264606,3.234261274,-9.850122452,-5.95932579,14.65511322,14.87722969,35.81381989,-17.53505707,-5.744842529,39.8913269,-8.857557297,33.70166779,82.18000031,-27.86285782,-32.2480011,79.55500031,-27.50700378,stand up,17.5015355,38.86712504
37,10.24733639,-14.23595524,3.645563126,-10.16357994,-5.100631714,14.78711033,16.26379585,35.12071991,-18.35677528,-4.358287334,39.5848732,-9.695988655,35.08768845,81.47595978,-29.20195198,-30.37998009,79.56302643,-28.36966896,stand up,15.15111213,40.46210694
38,9.599625587,-14.52929688,4.063522816,-10.45939255,-4.273310184,14.87114716,17.6286869,34.36149979,-19.16288948,-2.987992287,39.21127701,-10.52346992,36.44709778,80.70081329,-30.52699661,-28.51787758,79.49942017,-29.2267952,stand up,12.77596931,42.11092224
39,9.505641937,-14.39074612,4.517972469,-10.68606186,-3.873846054,14.86177731,18.260952,33.76262665,-19.88253212,-2.422555208,38.78111267,-11.43680191,37.08168793,80.06952667,-31.17609978,-27.19943237,79.63583374,-29.85789871,stand up,11.81351556,42.19930453
40,9.408547401,-14.23861694,4.966810226,-10.89446259,-3.50677371,14.85168648,18.89353371,33.14102936,-20.58217621,-1.858570457,38.32685471,-12.33430767,37.70715714,79.41784668,-31.81016541,-25.86274529,79.73397827,-30.47676468,stand up,10.80350695,42.28976006
41,9.479111671,-13.98479366,5.390781403,-11.04366779,-3.374168396,14.82441139,19.09988594,32.66156006,-21.23467255,-1.762786746,37.87728882,-13.26577091,37.90371323,78.89078522,-32.07990265,-24.95394135,79.82949829,-31.06371498,stand up,10.48033141,41.61325177
42,9.690599442,-13.62582779,5.7485075,-11.21094894,-3.363874435,14.74359608,19.10925293,32.2450676,-21.85513687,-1.831793785,37.49767303,-14.12937164,37.96391296,78.3883667,-32.31208801,-24.51397705,79.75653076,-31.87415314,stand up,10.62221624,41.151865
43,10.04572105,-13.1610508,6.067600727,-11.44738483,-3.510168076,14.53953648,18.76089096,31.90091324,-22.46692085,-2.189881563,37.20595932,-14.98687553,37.84318161,77.87100983,-32.90633774,-24.89876938,79.39987183,-33.22919083,stand up,11.59735224,41.09866978
44,10.38793182,-12.6748476,6.379201889,-11.9519453,-3.609257936,14.04585266,18.41516304,31.53755951,-23.07994652,-2.545617104,36.88882446,-15.84515858,37.70532227,77.34385681,-33.4881134,-25.27562714,79.01335144,-34.58316803,stand up,12.54659746,41.42690721
45,10.69060707,-12.21252346,6.781899929,-12.37084007,-3.90728426,13.53247166,17.7208252,31.24192047,-23.65377045,-3.255765915,36.43854904,-16.93525696,37.46172333,76.75344849,-34.81766891,-26.07529449,78.50508881,-36.20183563,stand up,14.25918466,41.20891939
46,10.90533543,-11.72062492,7.398587227,-12.804492,-4.318294048,12.92191124,16.95815849,31.03920174,-24.06162071,-4.130735397,35.75947189,-18.25020218,37.30715561,76.08998108,-36.76385117,-26.78777504,77.93174744,-37.77433777,stand up,16.25131351,40.45869446
47,11.09596825,-11.20033264,8.002940178,-13.22536278,-4.802733421,12.20231628,16.19558144,30.79714775,-24.49909019,-4.968881607,35.00535583,-19.57828903,37.20584488,75.32106781,-38.65199661,-27.48273277,77.27893829,-39.33717728,stand up,18.33867985,39.7560658
48,11.43370819,-10.41460609,8.586591721,-13.5758791,-5.458560467,11.39095402,15.44811726,30.72251701,-24.70732689,-5.838524342,34.25930023,-20.78484344,36.98184967,74.65113068,-40.35560989,-28.08015442,76.73064423,-40.48245239,stand up,20.54039544,38.66400991
49,11.72236061,-9.589377403,9.157565117,-13.7992363,-6.173211098,10.58911419,14.69083405,30.60976791,-24.9565258,-6.667462826,33.44082642,-22.01331902,36.81677628,73.8769989,-42.00334167,-28.68112946,76.09886932,-41.61595535,stand up,22.86094179,37.50169932
50,12.17666817,-8.660772324,9.435510635,-13.732584,-7.109025002,9.941303253,13.80617428,30.67782593,-25.01960754,-7.607714653,32.98723221,-22.70676422,36.27482224,73.42860413,-42.89855576,-29.54363823,75.66296387,-42.50622559,stand up,25.35321358,35.8888297
51,12.56994057,-7.690665245,9.706968307,-13.54526997,-8.052137375,9.317046165,12.90947819,30.70209694,-25.1163311,-8.534906387,32.47596741,-23.4237442,35.74404907,72.91817474,-43.76879501,-30.40719604,75.16760254,-43.40244675,stand up,27.9021459,34.1750548
52,12.93789101,-6.906580925,9.778701782,-13.19082069,-9.025624275,8.758205414,11.89643574,30.92967606,-24.98787308,-9.591620445,32.18282318,-23.78931808,34.98130035,72.63803101,-44.40356445,-31.4070816,74.80235291,-44.19448471,stand up,30.54046833,32.0979562
53,13.28181076,-6.277519226,9.692960739,-12.82381821,-9.883746147,8.129572868,10.80779457,31.31805992,-24.68432426,-10.7258749,31.96797752,-23.98989868,34.15191269,72.44598389,-45.01929855,-32.40722275,74.49965668,-44.92491913,stand up,33.34412767,29.88081554
54,13.63804531,-5.724885941,9.44042778,-12.37644577,-10.76610374,7.420957088,9.631262779,31.87541962,-24.1988678,-11.92888737,31.84463692,-24.01246643,33.34438324,72.24456024,-45.75268173,-33.42883682,74.2305603,-45.63526154,stand up,36.51290615,27.49784795
